e,r,se_DNC,sp_DNC,pres_DNC,se_RD,sp_RD,pres_RD,se_GCO,sp_GCO,pres_GCO,se_GCO_A,sp_GCO_A,pres_GCO_A,se_SZCO,sp_SZCO,pres_SZCO,se_SZCO_A,sp_SZCO_A,pres_SZCO_A,se_LZCO,sp_LZCO,pres_LZCO,se_LZCO_A,sp_LZCO_A,pres_LZCO_A,se_NLR,sp_NLR,pres_NLR,se_NLR_A,sp_NLR_A,pres_NLR_A,se_NLME,sp_NLME,pres_NLME,se_NLME_A,sp_NLME_A,pres_NLME_A
0.05,0.30000000000000004,0,100,100,0.4794246903715541,99.74616047108661,92.70185118422496,58.673591689972035,99.74616047108661,89.84787685941346,61.78186176588094,99.96456136446989,92.70185118422496,6.088693567718737,99.74616047108661,92.42675987899118,59.944067119456655,99.91181548833204,90.36200761791306,7.27926488214143,99.74574839392928,92.36797968556515,60.807031562125445,99.92376572589453,90.37924980798469,47.49500599280863,99.74492423961463,90.39453265827547,70.78705553335996,99.99258261116812,91.83934981268712,NA,NA,NA,NA,NA,NA
0.1,0.30000000000000004,0,100,100,0.9986019572598361,99.4638349272006,92.70185118422496,58.985420411424,99.4638349272006,87.01310406445444,61.67765128819652,99.91179780406947,92.70185118422496,5.963650888755742,99.4638349272006,92.21475931470133,60.123826642700216,99.7249655663841,87.6432277379814,7.485520271619732,99.4638349272006,92.06545762339921,60.47134012382664,99.76406998822523,87.71062902644326,47.793089674455764,99.46253144647257,88.10955060582786,70.7209906131416,99.98175126980748,90.97763217706162,63.279408827641305,99.45471056210434,86.58283304857595,81.52586379069304,99.9791443083514,91.21314481872189
0.2,0.30000000000000004,0,100,100,2.087332053742802,98.83658588891272,92.70185118422496,59.48696417146513,98.83658588891272,81.4517140304403,61.69025911708253,99.80309203984949,92.70185118422496,6.607885476647472,98.83658588891272,91.8158377353167,60.474648112603965,99.2572085859669,82.04578585199931,8.475287907869482,98.83658588891272,91.44983306425067,60.45465451055663,99.37467100773985,82.56853770553474,47.81070057581574,98.83561109703078,83.73904729062495,70.11556301983364,99.95369738560818,89.26438547267112,56.21601087651952,98.83561109703078,82.0916344028716,77.5911708253359,99.97757978671554,89.22010439362353
0.5,0.30000000000000004,0,100,100,4.46041095561967,96.22188905547226,92.70185118422496,60.355010669501205,96.22188905547226,65.29578193331974,61.47071281858651,99.26344520047668,92.70185118422496,7.984143602694949,96.22188905547226,90.97410536545605,61.13344469042462,97.33979164264022,65.80560214430146,10.361803984878879,96.22188905547226,89.80829819583992,60.968806694212894,97.44435474570408,66.33188080944244,48.65692158915627,96.22112020912621,71.03116133987491,69.11838750669341,99.58559181947489,83.92165775820179,NA,NA,NA,NA,NA,NA
0,0.4,100,100,100,100,100,92.70185118422496,100,100,92.70185118422496,100,100,92.70185118422496,100,99.88204774519178,92.57802091007414,100,99.87616972584917,92.70185118422496,100,99.07362415160588,91.73236986065176,100,99.0305186764268,92.70185118422496,100,99.99882439613148,92.70028371240026,100,99.9984325281753,92.70185118422496,100,99.60578083608948,92.28725488659342,100,99.75704186717243,92.59683057197047
0.001,0.4,0,100,100,0,99.99607747766123,92.70185118422496,58.4,99.99607747766123,92.64463846262363,60.4,99.99882324329838,92.70185118422496,12.8,99.99607747766123,92.68931140962742,61.199999999999996,99.99882324329838,92.66305625656379,53.6,99.76229514627086,92.40363966957695,73.6,99.75405784935946,92.68578459802185,49.6,99.9949007209596,92.65169208583475,68.8,99.9984309910645,92.68656833393419,88.4,99.69561226651186,92.29783532141009,91.2,99.82544775592497,92.588993212847
0.002,0.4,0,100,100,0,99.99293247371273,92.70185118422496,57.171314741035864,99.99293247371273,92.58938508080318,60.95617529880478,99.99882207895212,92.70185118422496,10.358565737051793,99.99293247371273,92.68147405050394,61.354581673306775,99.99842943860283,92.61799144160385,40.0398406374502,99.9344290616681,92.56312992773955,68.72509960159363,99.93914074585962,92.66070504882676,51.39442231075697,99.99175455266484,92.59918177970751,72.50996015936255,99.99803679825354,92.67246108751195,87.25099601593625,99.7082682204754,92.22886656112357,91.43426294820716,99.82802352700973,92.56900794708216
0.005,0.4,0,100,100,0.07980845969672785,99.98070372339379,92.70185118422496,57.940941739824424,99.98070372339379,92.41774691599919,61.13328012769353,99.9952743812393,92.70185118422496,8.619313647246608,99.98070372339379,92.65992131291439,61.77174780526736,99.99763719061964,92.48671567628571,22.266560255387073,99.96416405773131,92.57606157029328,64.4852354349561,99.98267273121074,92.53295609511419,49.880287310454904,99.9795223187036,92.45575810774801,71.18914604948124,99.99803099218305,92.62269385707792,86.75179569034319,99.69401618524427,91.97689546530401,91.77972865123704,99.81373186051549,92.49807984701475
0.01,0.4,0,100,100,0.11971268954509177,99.95567551309551,92.70185118422496,57.302474062250596,99.95567551309551,92.14030440302835,60.893854748603346,99.99366793044221,92.70185118422496,7.222665602553871,99.95567551309551,92.63209868802609,61.09337589784517,99.99445943913695,92.27001269652177,15.44293695131684,99.95290523266398,92.54863081336113,61.93136472466081,99.99327217609485,92.33310343746571,49.84038308060654,99.95448825005343,92.2120162390081,70.4708699122107,99.99722971956847,92.55450883270373,84.87629688747008,99.7542365502885,91.66144176058435,90.18355945730248,99.86109022407611,92.46751414643322
0.02,0.4,0,100,100,0.15958507879513265,99.89847107025082,92.70185118422496,57.5902653101935,99.89847107025082,91.57366333840149,60.84181129064432,99.98041371040271,92.70185118422496,6.80231398364253,99.89847107025082,92.57135915481919,60.602433672451625,99.97921454981513,91.8264181701334,10.073808098942749,99.89727190966323,92.50591720613822,60.98144823459006,99.98321175177377,91.87971221217298,50.56852184320766,99.89727190966323,91.71003338714986,71.43427089567126,99.99600279804137,92.38678934746149,NA,NA,NA,NA,NA,NA
0.05,0.4,0,100,100,0.4861719933051726,99.74571486269839,92.70185118422496,57.50378576552164,99.74571486269839,89.89842782575982,60.47660795409261,99.95301700866712,92.70185118422496,5.45150235115964,99.74571486269839,92.45771744752888,58.539890013549055,99.89531859825833,90.40197814944277,7.946122579102574,99.74530273119548,92.33467090929041,59.57599426157647,99.9093310693576,90.47094690972929,50.63361759783215,99.74447846818964,90.23465053215668,71.37164262373476,99.98722392340949,91.94476229289779,NA,NA,NA,NA,NA,NA
0.1,0.4,0,100,100,0.9961746891934969,99.46456200128644,92.70185118422496,57.82993305706089,99.46456200128644,87.11263852532251,60.511635320369784,99.90655911548424,92.70185118422496,5.219955371373924,99.46456200128644,92.28647115068107,58.702582084794386,99.68577786276794,87.72042572534758,6.59467644246095,99.46456200128644,92.15127670580121,59.184730634364044,99.74749230742486,87.79370503315202,50.84475613643609,99.46325817499087,87.79801558066994,70.93560726809052,99.97826956174052,91.22450898945091,66.48071405801721,99.4536967821567,86.25131275765318,82.00510041440867,99.97566190914938,91.42671285483644
0.2,0.4,0,100,100,2.082544490723211,98.82736855455127,92.70185118422496,58.52647521871699,98.82736855455127,81.60297506152327,60.73855596962873,99.7907408943022,92.70185118422496,6.05831124574025,98.82736855455127,91.92007461165885,59.4053289224576,99.20930300620948,82.14257723717417,7.55893899838578,98.82736855455127,91.62499804066022,59.387393132585345,99.32880995468491,82.60537329341506,51.1987086231292,98.82639298762493,83.04269793250467,70.76665537376194,99.95512392138882,89.72247911343794,59.60262261105244,98.82639298762493,81.39019076132107,78.12431495247016,99.9790253110839,89.66526639183661
0.5,0.4,0,100,100,4.451899248587616,96.19094617205512,92.70185118422496,59.41257559941672,96.19094617205512,65.67315077511482,60.49228268404823,99.20811775682199,92.70185118422496,7.554762265233432,96.19094617205512,91.1759173628854,60.212594723379844,97.16017302665566,66.057573240121,9.590667505996159,96.19094617205512,90.17469473486214,60.01896459676327,97.27506149231635,66.60736398263242,51.82115907153159,96.19017510852719,69.40608492562346,69.61839725252396,99.53504869266179,85.05885856701725,50.57013315059324,96.19094617205512,70.021709484772,68.90363913081588,99.8365345320801,85.03181967804129
0,0.5,100,100,100,100,100,92.70185118422496,100,100,92.70185118422496,100,100,92.70185118422496,100,99.88204774519178,92.57802091007414,100,99.87616972584917,92.70185118422496,100,99.07362415160588,91.73236986065176,100,99.0305186764268,92.70185118422496,100,99.99882439613148,92.70028371240026,100,99.9984325281753,92.70185118422496,100,99.60578083608948,92.28725488659342,100,99.75704186717243,92.59683057197047
